Date,Subscriptionstatus,Views
2021-11-28,Subscribed,13
2021-11-29,Subscribed,19
2021-11-30,Subscribed,20
2021-12-01,Subscribed,30
2021-12-02,Subscribed,29
2021-12-03,Subscribed,29
2021-12-04,Subscribed,36
2021-12-05,Subscribed,15
2021-12-06,Subscribed,26
2021-12-07,Subscribed,32
2021-12-08,Subscribed,14
2021-12-09,Subscribed,18
2021-12-10,Subscribed,39
2021-12-11,Subscribed,66
2021-12-12,Subscribed,27
2021-12-13,Subscribed,14
2021-12-14,Subscribed,39
2021-12-15,Subscribed,12
2021-12-16,Subscribed,12
2021-12-17,Subscribed,13
2021-12-18,Subscribed,15
2021-12-19,Subscribed,13
2021-12-20,Subscribed,18
2021-12-21,Subscribed,68
2021-12-22,Subscribed,16
2021-12-23,Subscribed,29
2021-12-24,Subscribed,12
2021-12-25,Subscribed,8
2021-11-28,Not subscribed,61
2021-11-29,Not subscribed,85
2021-11-30,Not subscribed,108
2021-12-01,Not subscribed,69
2021-12-02,Not subscribed,115
2021-12-03,Not subscribed,123
2021-12-04,Not subscribed,70
2021-12-05,Not subscribed,95
2021-12-06,Not subscribed,113
2021-12-07,Not subscribed,113
2021-12-08,Not subscribed,106
2021-12-09,Not subscribed,99
2021-12-10,Not subscribed,124
2021-12-11,Not subscribed,122
2021-12-12,Not subscribed,92
2021-12-13,Not subscribed,82
2021-12-14,Not subscribed,105
2021-12-15,Not subscribed,118
2021-12-16,Not subscribed,136
2021-12-17,Not subscribed,139
2021-12-18,Not subscribed,81
2021-12-19,Not subscribed,52
2021-12-20,Not subscribed,96
2021-12-21,Not subscribed,184
2021-12-22,Not subscribed,129
2021-12-23,Not subscribed,84
2021-12-24,Not subscribed,63
2021-12-25,Not subscribed,64